"UNITID","school_name","city","state","zip","school_webpage","latitude","longitude","admission_rate","sat_verbal_midrange","sat_math_midrange","sat_writing_midrange","act_combined_midrange","act_english_midrange","act_math_midrange","act_writing_midrange","sat_total_average","undergrad_size","percent_white","percent_black","percent_hispanic","percent_asian","percent_part_time","average_cost_academic_year","average_cost_program_year","tuition_(instate)","tuition_(out_of_state)","spend_per_student","faculty_salary","percent_part_time_faculty","percent_pell_grant","completion_rate","predominant_degree","highest_degree","ownership","region","gender","carnegie_basic_classification","carnegie_undergraduate","carnegie_size","religious_affiliation","percent_female","agege24","faminc","mean_earnings_6_years","median_earnings_6_years","mean_earnings_10_years","median_earnings_10_years"
100654,'Alabama A & M University',Normal,AL,35762,www.aamu.edu/,34.7834,-86.5685,0.8989,410.0,400.0,?,17.0,17.0,17.0,?,823.0,4051.0,0.0279,0.9501,0.0089,0.0022,0.0622,18888.0,?,7182.0,12774.0,7459.0,7079.0,0.8856,0.7115,0.2914,Bachelors,Graduate,Public,'Southeast',COED,'Master\'s Colleges and Universities (larger programs)','Full-time four-year inclusive','Medium 4-year highly residential (3000 to 9999)',?,0.52999997138977,0.07999999821186,40211.22,26100.0,22800.0,35300.0,31400.0
100663,'University of Alabama at Birmingham',Birmingham,AL,35294-0110,www.uab.edu,33.5022,-86.8092,0.8673,580.0,585.0,?,25.0,26.0,23.0,?,1146.0,11200.0,0.5987,0.259,0.0258,0.0518,0.2579,19990.0,?,7206.0,16398.0,17208.0,10170.0,0.9106,0.3505,0.5377,Bachelors,Graduate,Public,'Southeast',COED,'Research Universities (very high research activity)','Medium full-time four-year selective higher transfer-in','Large 4-year primarily nonresidential (over 9999)',?,0.64999997615814,0.25999999046325,49894.65,37400.0,33200.0,46300.0,40300.0
100690,'Amridge University',Montgomery,AL,36117-3553,www.amridgeuniversity.edu,32.3626,-86.17399999999999,?,?,?,?,?,?,?,?,?,322.0,0.2919,0.4224,0.0093,0.0031,0.3727,12300.0,?,6870.0,6870.0,5123.0,3849.0,0.6721,0.6839,0.6667,Bachelors,Graduate,'Private nonprofit','Southeast',COED,'Baccalaureate Colleges--Arts & Sciences','Medium full-time four-year inclusivestudents with varying levels academic preparation and achievement)','Very small 4-year primarily nonresidential (less than 1000)','Churches of Christ',0.50999999046325,0.82999998331069,38712.18,38500.0,32800.0,42100.0,38100.0
100706,'University of Alabama in Huntsville',Huntsville,AL,35899,www.uah.edu,34.7228,-86.6384,0.8062,575.0,580.0,?,26.0,26.0,25.0,?,1180.0,5525.0,0.7012,0.131,0.0338,0.0364,0.2395,20306.0,?,9192.0,21506.0,9352.0,9341.0,0.6555,0.3281,0.4835,Bachelors,Graduate,Public,'Southeast',COED,'Research Universities (very high research activity)','Medium full-time four-year selective higher transfer-in','Medium 4-year primarily nonresidential (3000 to 9999)',?,0.55000001192092,0.28999999165534,54155.4,39300.0,36700.0,52700.0,46600.0
100724,'Alabama State University',Montgomery,AL,36104-0271,www.alasu.edu/email/index.aspx,32.3643,-86.2957,0.5125,430.0,425.0,?,17.0,17.0,17.0,?,830.0,5354.0,0.0161,0.9285,0.0114,0.0015,0.0902,17400.0,?,8720.0,15656.0,7393.0,6557.0,0.6641,0.8265,0.2517,Bachelors,Graduate,Public,'Southeast',COED,'Master\'s Colleges and Universities (larger programs)','Full-time four-year inclusive','Medium 4-year primarily residential (3000 to 9999)',?,0.56999999284744,0.10999999940395,31846.99,21200.0,19300.0,30700.0,27800.0
100751,'The University of Alabama',Tuscaloosa,AL,35487-0166,www.ua.edu/,33.2144,-87.5458,0.5655,555.0,570.0,540.0,26.0,27.0,25.0,7.0,1171.0,28692.0,0.7865,0.114,0.0313,0.0112,0.0852,26717.0,?,9450.0,23950.0,9817.0,9605.0,0.7109,0.2107,0.6665,Bachelors,Graduate,Public,'Southeast',COED,'Research Universities (high research activity)','Full-time four-year selective lower transfer-in','Large 4-year primarily residential (over 9999)',?,0.56000000238418,0.10000000149011,74131.14,35700.0,32900.0,49100.0,42400.0
100760,'Central Alabama Community College','Alexander City',AL,35010,www.cacc.edu,32.9244,-85.9465,?,?,?,?,?,?,?,?,?,1779.0,0.6785,0.2945,0.0118,0.0022,0.466,12103.0,?,4200.0,7500.0,5935.0,5805.0,0.3871,0.6515,?,Associate,Associate,Public,'Southeast',COED,'Associate\'s--Public Rural-serving Medium','Medium full-time two-year','Small 2-year (500 to 1999)',?,0.72000002861022,0.41999998688697,27315.85,25300.0,22700.0,31400.0,27100.0
100812,'Athens State University',Athens,AL,35611,www.athens.edu,34.8056,-86.9651,?,?,?,?,?,?,?,?,?,2999.0,0.7513,0.1064,0.0213,0.0047,0.5502,?,?,?,?,6176.0,7672.0,0.4412,0.4107,?,Bachelors,Bachelors,Public,'Southeast',COED,'Baccalaureate Colleges--Diverse Fields','Higher part-time four-year','Small 4-year primarily nonresidential (1000 to 2999)',?,0.72000002861022,0.61000001430511,40441.28,34600.0,33300.0,41500.0,39700.0
100830,'Auburn University at Montgomery',Montgomery,AL,36117-3596,www.aum.edu,32.3699,-86.1774,0.8371,?,?,?,21.0,21.0,20.0,?,970.0,4322.0,0.5532,0.3031,0.0079,0.0245,0.3061,16556.0,?,8750.0,24950.0,6817.0,7173.0,0.9262,0.4006,0.2705,Bachelors,Graduate,Public,'Southeast',COED,'Master\'s Colleges and Universities (larger programs)','Medium full-time four-year selective higher transfer-in','Medium 4-year primarily nonresidential (3000 to 9999)',?,0.68000000715255,0.31999999284744,40107.7,30400.0,27500.0,36700.0,34800.0
100858,'Auburn University','Auburn University',AL,36849,www.auburn.edu,32.6002,-85.4924,0.8274,570.0,595.0,565.0,27.0,28.0,26.0,7.0,1215.0,19761.0,0.8543,0.0714,0.0253,0.0213,0.0902,23788.0,?,9852.0,26364.0,11324.0,9429.0,0.878,0.1687,0.6792,Bachelors,Graduate,Public,'Southeast',COED,'Research Universities (high research activity)','Full-time four-year more selective higher transfer-in','Large 4-year primarily nonresidential (over 9999)',?,0.49000000953674,0.07000000029802,88745.91,39300.0,35900.0,52100.0,45400.0
100937,'Birmingham Southern College',Birmingham,AL,35254,www.bsc.edu/,33.5155,-86.8536,0.6422,575.0,580.0,?,26.0,27.0,25.0,?,1177.0,1181.0,0.8103,0.094,0.0305,0.039,0.0119,44512.0,?,30690.0,30690.0,9990.0,7513.0,0.6479,0.2136,0.6192,Bachelors,Bachelors,'Private nonprofit','Southeast',COED,'Baccalaureate Colleges--Arts & Sciences','Full-time four-year more selective lower transfer-in','Small 4-year highly residential (1000 to 2999)','United Methodist',0.56999999284744,0.01999999955296,106237.94,30200.0,26800.0,45300.0,41900.0
101028,'Chattahoochee Valley Community College','Phenix City',AL,36869,www.cv.edu,32.4239,-85.0315,?,?,?,?,?,?,?,?,?,1769.0,0.4675,0.4409,0.0379,0.0136,0.4059,6800.0,?,4260.0,7590.0,4459.0,5749.0,0.2903,0.6116,?,Associate,Associate,Public,'Southeast',COED,'Associate\'s--Public Rural-serving Medium','Mixed part/full-time two-year','Small 2-year (500 to 1999)',?,0.70999997854232,0.43000000715255,26080.04,25100.0,21600.0,31200.0,27700.0
101073,'Concordia College Alabama',Selma,AL,36701,www.ccal.edu/,32.4223,-87.0242,?,?,?,?,?,?,?,?,?,523.0,0.0115,0.9388,0.0134,0.0038,0.0631,17655.0,?,8090.0,8090.0,6652.0,5720.0,0.5833,0.8363,0.2115,Bachelors,Bachelors,'Private nonprofit','Southeast',COED,'Baccalaureate Colleges--Diverse Fields','Full-time four-year inclusive','Very small 4-year highly residential (less than 1000)','Lutheran Church - Missouri Synod',0.37000000476837,0.18000000715255,17535.24,19900.0,18300.0,24400.0,21300.0
101116,'South University-Montgomery',Montgomery,AL,36116,southuniversity.edu,32.3427,-86.2165,0.4366,?,?,?,?,?,?,?,?,599.0,0.2988,0.6628,0.0117,0.0033,0.4808,28525.0,?,16360.0,16360.0,4728.0,4566.0,0.1667,0.7131,0.0784,Associate,Graduate,'Private for-profit','Southeast',COED,'Baccalaureate/Associate\'s Colleges','Higher part-time four-year','Very small 4-year primarily nonresidential (less than 1000)',?,0.79000002145767,0.73000001907348,42169.58,38200.0,31600.0,35500.0,29800.0
101143,'Enterprise State Community College',Enterprise,AL,36330-1300,www.escc.edu,31.2975,-85.837,?,?,?,?,?,?,?,?,?,1984.0,0.6411,0.2661,0.0444,0.0166,0.3538,10193.0,?,3780.0,6888.0,5930.0,6257.0,0.426,0.5121,?,Associate,Associate,Public,'Southeast',COED,'Associate\'s--Public Rural-serving Medium','Medium full-time two-year','Medium 2-year (2000 to 4999)',?,0.52999997138977,0.41999998688697,27318.59,31100.0,24100.0,30600.0,26300.0
101161,'James H Faulkner State Community College','Bay Minette',AL,36507-2698,www.faulknerstate.edu,30.851999999999997,-87.7798,?,?,?,?,?,?,?,?,?,4182.0,0.7104,0.2176,0.0263,0.0072,0.3867,11921.0,?,4200.0,7530.0,4101.0,6116.0,0.5625,0.4885,?,Associate,Associate,Public,'Southeast',COED,'Associate\'s--Public Suburban-serving Multicampus','Medium full-time two-year','Medium 2-year (2000 to 4999)',?,0.68999999761581,0.33000001311302,37506.3,25500.0,22400.0,31700.0,28900.0
101189,'Faulkner University',Montgomery,AL,36109-3378,www.faulkner.edu,32.3842,-86.2164,?,?,?,?,?,?,?,?,?,2358.0,0.3919,0.5254,0.0178,0.0047,0.2354,28485.0,?,18230.0,18230.0,5382.0,6657.0,0.4757,0.5816,0.2287,Bachelors,Graduate,'Private nonprofit','Southeast',COED,'Baccalaureate Colleges--Diverse Fields','Medium full-time four-year selective lower transfer-in','Small 4-year primarily nonresidential (1000 to 2999)','Churches of Christ',0.68999999761581,0.62000000476837,41904.64,34300.0,30500.0,43500.0,37600.0
101240,'Gadsden State Community College',Gadsden,AL,35903,www.gadsdenstate.edu,33.9919,-85.9913,?,?,?,?,?,?,?,?,?,5480.0,0.6792,0.21,0.0261,0.0055,0.4345,10247.0,?,3900.0,7230.0,5876.0,5950.0,0.46299999999999997,0.6,?,Associate,Associate,Public,'Southeast',COED,'Associate\'s--Public Rural-serving Large','Medium full-time two-year','Large 2-year ( 5000 to 9999)',?,0.70999997854232,0.43999999761581,18764.16,23200.0,20200.0,29900.0,26900.0
101277,'New Beginning College of Cosmetology',Albertville,AL,35951,www.nbccosmetology.com,34.2593,-86.2,?,?,?,?,?,?,?,?,?,89.0,0.9326,0.0337,0.0337,0.0,0.0,?,13482.0,?,?,1764.0,?,?,0.4898,?,Certificate,Certificate,'Private for-profit','Southeast',COED,?,?,?,?,?,?,?,?,?,?,?
101286,'George C Wallace State Community College-Dothan',Dothan,AL,36303-9234,www.wallace.edu,31.3161,-85.4636,?,?,?,?,?,?,?,?,?,4293.0,0.6306,0.3196,0.024,0.0058,0.4675,8140.0,?,3900.0,7230.0,5296.0,5544.0,0.614,0.5548,?,Associate,Associate,Public,'Southeast',COED,'Associate\'s--Public Rural-serving Medium','Mixed part/full-time two-year','Medium 2-year (2000 to 4999)',?,0.75,0.43000000715255,18035.9,24000.0,20800.0,31900.0,27100.0
101295,'George C Wallace State Community College-Hanceville',Hanceville,AL,35077-2000,www.wallacestate.edu,34.0734,-86.7817,?,?,?,?,?,?,?,?,?,4904.0,0.875,0.0593,0.0273,0.0043,0.4052,10822.0,?,4200.0,7530.0,5289.0,5843.0,0.4283,0.5017,?,Associate,Associate,Public,'Southeast',COED,'Associate\'s--Public Rural-serving Medium','Mixed part/full-time two-year','Medium 2-year (2000 to 4999)',?,0.66000002622604,0.43999999761581,33184.58,28400.0,25500.0,30600.0,27800.0
101301,'George C Wallace State Community College-Selma',Selma,AL,36703-2808,www.wccs.edu,32.4456,-87.0132,?,?,?,?,?,?,?,?,?,1604.0,0.2163,0.7594,0.0062,0.0069,0.3348,14835.0,?,3900.0,7230.0,5581.0,5809.0,0.5564,0.7687,?,Associate,Associate,Public,'Southeast',COED,'Associate\'s--Public Rural-serving Medium','Medium full-time two-year','Small 2-year (500 to 1999)',?,0.69999998807907,0.34999999403953,13685.85,23000.0,19600.0,29300.0,24400.0
101365,'Herzing University-Birmingham',Birmingham,AL,35209,www.herzing.edu/birmingham,33.4681,-86.8323,0.7234,?,?,?,?,?,?,?,?,318.0,0.3491,0.5881,0.0063,0.0094,0.4969,26656.0,?,11150.0,11150.0,6942.0,5645.0,0.3077,0.6373,0.1778,Certificate,Bachelors,'Private for-profit','Southeast',COED,'Baccalaureate Colleges--Diverse Fields','Higher part-time four-year','Very small 4-year primarily nonresidential (less than 1000)',?,0.56999999284744,0.63999998569488,27630.62,31900.0,29300.0,44100.0,42300.0
101435,'Huntingdon College',Montgomery,AL,36106-2148,www.huntingdon.edu,32.3509,-86.2853,0.6279,460.0,480.0,?,22.0,22.0,20.0,?,999.0,1100.0,0.5845,0.1918,0.02,0.0091,0.1836,31433.0,?,23500.0,23500.0,6571.0,6027.0,0.4083,0.4302,0.4319,Bachelors,Bachelors,'Private nonprofit','Southeast',COED,'Baccalaureate Colleges--Diverse Fields','Full-time four-year selective higher transfer-in','Very small 4-year primarily residential (less than 1000)','United Methodist',0.5,0.20999999344348,63952.76,32000.0,29700.0,40300.0,37100.0
101453,'Heritage Christian University',Florence,AL,35630-9977,www.hcu.edu,34.8591,-87.6621,?,?,?,?,?,?,?,?,?,67.0,0.7313,0.1194,0.0448,0.0,0.5224,21160.0,?,9792.0,9792.0,9356.0,5512.0,1.0,0.4839,0.0,Bachelors,Graduate,'Private nonprofit','Southeast',COED,'Special Focus Institutions--Theological seminaries Bible colleges and other faith-related institutions',?,?,'Churches of Christ',0.27000001072883,0.62999999523162,32348.1,?,?,43400.0,32700.0
101462,'J F Drake State Community and Technical College',Huntsville,AL,35811,www.drakestate.edu,34.7721,-86.5738,?,?,?,?,?,?,?,?,?,1040.0,0.3096,0.6231,0.025,0.0048,0.3894,12217.0,?,3336.0,6000.0,5498.0,6947.0,0.37799999999999995,0.5873,?,Certificate,Associate,Public,'Southeast',COED,'Associate\'s--Public Rural-serving Small','Mixed part/full-time two-year','Small 2-year (500 to 1999)',?,0.60000002384185,0.64999997615814,15507.38,21800.0,18400.0,27300.0,23500.0
101480,'Jacksonville State University',Jacksonville,AL,36265,www.jsu.edu/,33.8221,-85.7666,0.8326,485.0,480.0,?,23.0,22.0,21.0,?,1036.0,7195.0,0.6655,0.2628,0.0133,0.0053,0.2128,19202.0,?,7092.0,13884.0,6949.0,6857.0,0.6516,0.4613,0.3083,Bachelors,Graduate,Public,'Southeast',COED,'Master\'s Colleges and Universities (larger programs)','Medium full-time four-year inclusivestudents with varying levels academic preparation and achievement)','Medium 4-year primarily nonresidential (3000 to 9999)',?,0.57999998331069,0.23999999463558,47062.65,29800.0,27000.0,36600.0,35100.0
101499,'Jefferson Davis Community College',Brewton,AL,36426,www.jdcc.edu,31.101999999999997,-87.0858,?,?,?,?,?,?,?,?,?,1037.0,0.5853,0.297,0.0116,0.0183,0.4089,9149.0,?,3908.0,7238.0,5655.0,5636.0,0.5,0.5283,?,Associate,Associate,Public,'Southeast',COED,'Associate\'s--Public Rural-serving Small','Mixed part/full-time two-year','Small 2-year (500 to 1999)',?,0.69999998807907,0.43000000715255,18580.6,25500.0,21900.0,30900.0,27200.0
