"lineNo","assgNo","fixcount","firstPassCnt","P1stFixation","P2stFixation","prevFixDur","firstfixDur","firstPassFixDur","nextFixDur","firstSaccLen","lastSaccLen","prevFixPos","landingPos","leavingPos","totalFixDur","meanFixDur","nRegressFrom","regressLen","nextWordRegress","regressDur","pupilDiamMax","pupilDiamLag","timePrtctg","nWordsInTitle","titleNo","wordNo","label"
1,1,1,1,1,0,0,100,100,99,0.0000,382.8998,0.0000,62.0081,58.8218,100,100.0000,0,0,0,0,0.0095,0.1450,0.0131,7,4,3,0
2,1,1,1,1,0,99,278,278,159,87.0933,165.0068,146.7685,83.0060,86.2279,278,278.0000,0,0,0,0,0.0095,0.1830,0.0363,7,1,1,0
3,1,1,1,1,0,278,159,159,159,165.0068,141.1471,148.8624,24.6982,20.2299,159,159.0000,0,0,0,0,0.0370,0.1830,0.0208,7,1,3,0
4,1,1,1,1,0,159,159,159,139,141.1471,185.0007,133.0902,8.7321,9.6177,159,159.0000,0,0,0,0,0.0370,0.1830,0.0208,7,1,5,0
5,1,1,1,1,0,159,139,139,239,185.0007,221.6269,84.2140,101.5788,92.6634,139,139.0000,0,0,0,0,0.0390,0.1830,0.0182,7,1,6,0
6,1,1,1,1,0,139,239,239,258,221.6269,668.9516,51.0882,164.5144,156.2890,239,239.0000,0,0,0,0,0.1450,0.1965,0.0312,7,1,7,0
7,1,1,1,1,0,239,258,258,139,668.9516,186.0168,772.6895,112.1985,123.6982,258,258.0000,0,0,0,596,0.1450,0.1965,0.0337,4,2,1,2
8,1,1,1,1,0,258,139,139,100,186.0168,93.0658,172.2905,12.3491,3.3541,139,139.0000,1,298,1,298,0.1450,0.3400,0.0182,4,2,3,2
9,1,1,1,1,0,139,100,100,338,93.0658,182.5027,96.0833,7.3824,11.2805,100,100.0000,1,934,0,0,0.1540,0.3400,0.0131,4,2,4,2
10,1,1,1,1,1,100,338,338,298,182.5027,142.2410,205.1560,25.0599,31.6623,338,338.0000,0,0,1,338,0.1830,0.3400,0.0442,4,2,2,2
11,1,1,1,1,0,258,139,139,100,142.2410,277.9609,83.0963,63.2851,36.0312,298,298.0000,1,298,1,298,0.1830,0.3400,0.0389,4,2,3,2
12,1,1,1,1,0,239,258,258,139,277.9609,84.7127,345.0058,58.3310,69.4622,298,298.0000,0,0,0,596,0.1965,0.3400,0.0389,4,2,1,2
13,1,1,1,1,1,298,179,179,318,84.7127,196.3288,99.0051,75.4801,81.0015,179,179.0000,0,0,0,0,0.1965,0.3400,0.0234,5,3,1,0
14,1,1,1,1,0,179,318,318,219,196.3288,102.5695,181.0442,37.8054,13.5000,318,318.0000,1,2246,0,0,0.3400,0.3400,0.0416,5,3,3,0
15,1,2,1,1,1,100,338,338,298,102.5695,478.8037,132.5745,92.5486,96.9330,537,268.5000,0,0,1,338,0.3400,0.1740,0.0702,4,2,2,2
16,1,1,1,1,0,318,159,159,99,478.8037,99.5753,538.8525,157.1560,177.5451,159,159.0000,0,0,0,0,0.1700,0.1975,0.0208,6,7,1,0
17,1,1,1,1,0,159,99,99,139,99.5753,368.7058,79.3095,47.1699,50.0000,99,99.0000,1,2326,0,0,0.1700,0.1975,0.0129,3,6,2,1
18,1,1,1,1,1,100,338,338,298,368.7058,110.5543,329.3418,90.8020,99.4409,139,139.0000,0,0,1,338,0.1740,0.1975,0.0182,4,2,2,2
19,1,1,1,1,0,258,139,139,100,110.5543,314.0334,37.1618,87.5057,80.9089,616,616.0000,1,298,1,298,0.1740,0.1975,0.0805,4,2,3,2
20,1,1,1,1,1,298,179,179,318,314.0334,145.8124,397.5487,67.3146,94.5000,219,219.0000,0,0,0,0,0.1975,0.1860,0.0286,5,3,1,0
21,1,2,2,0,1,219,199,338,139,145.8124,191.7062,78.5175,79.2591,62.8908,338,169.0000,0,0,1,0,0.1975,0.1860,0.0442,5,3,2,0
22,1,1,1,0,1,139,139,139,219,191.7062,328.3146,178.0449,25.0599,10.5475,139,139.0000,0,0,0,0,0.1230,0.1860,0.0182,5,3,4,0
23,1,2,2,1,0,139,219,358,139,328.3146,89.1586,435.2987,145.2902,106.7052,358,179.0000,0,0,0,0,0.1695,0.1860,0.0468,3,5,1,0
24,1,1,1,0,1,139,139,139,378,89.1586,150.0208,127.3185,88.2850,82.9608,139,139.0000,0,0,1,0,0.1695,0.3045,0.0182,3,6,1,1
25,1,1,1,0,1,139,378,378,119,150.0208,274.2358,137.3645,21.0060,7.8262,378,378.0000,0,0,0,0,0.1860,0.3045,0.0494,3,6,3,1
26,1,1,1,1,0,378,119,119,239,274.2358,208.5599,260.9310,25.3180,4.9497,119,119.0000,1,239,0,0,0.1860,0.3045,0.0155,4,9,4,1
27,1,1,1,1,0,119,239,239,139,208.5599,116.3873,215.3927,18.8481,27.7218,239,239.0000,0,0,0,239,0.1825,0.3045,0.0312,4,9,2,1
28,1,1,1,1,0,239,139,139,179,116.3873,401.0527,150.0833,104.0697,97.3717,139,139.0000,0,0,0,0,0.0740,0.3045,0.0182,5,10,1,1
29,1,1,1,1,0,139,179,179,159,401.0527,713.9009,335.7216,69.3578,47.2149,179,179.0000,0,0,0,0,0.1035,0.1035,0.0234,5,10,5,1
30,1,1,2,0,1,219,199,338,139,713.9009,74.2243,688.7670,42.3232,16.9189,159,159.0000,0,0,1,0,0.1250,0.1250,0.0208,5,3,2,0
31,1,2,1,1,0,239,258,258,139,74.2243,0.0000,191.6507,123.5820,73.0274,596,298.0000,0,0,0,596,0.3045,0.1250,0.0779,4,2,1,2
32,2,1,1,1,1,0,239,239,199,0.0000,64.0312,0.0000,38.5130,18.1246,239,239.0000,0,0,1,1272,0.1025,0.1025,0.0223,5,2,3,2
33,2,1,1,1,1,239,199,199,119,64.0312,79.4292,61.0328,7.7782,21.8002,199,199.0000,1,119,0,0,0.1025,0.0920,0.0186,7,1,2,0
34,2,1,1,1,0,199,119,119,80,79.4292,134.2097,133.1841,61.5325,68.2367,119,119.0000,0,0,1,119,0.1025,0.0920,0.0111,7,1,1,0
35,2,1,1,1,0,119,80,80,199,134.2097,214.6311,89.0056,48.5644,43.0465,80,80.0000,0,0,0,0,0.1025,0.0920,0.0075,7,1,3,0
36,2,1,1,1,0,80,199,199,99,214.6311,218.9806,169.0000,43.5488,33.4701,199,199.0000,0,0,0,0,0.0730,0.0920,0.0186,7,1,4,0
37,2,1,1,1,0,199,99,99,199,218.9806,119.3032,152.3286,65.9564,54.6855,99,99.0000,0,0,0,0,0.0740,0.0920,0.0092,7,1,6,0
38,2,1,1,1,0,99,199,199,318,119.3032,646.4491,21.2603,105.3055,107.5570,199,199.0000,0,0,0,0,0.0920,0.0920,0.0186,7,1,7,0
39,2,1,1,0,1,199,318,318,497,646.4491,48.5077,649.6907,4.0000,34.7311,318,318.0000,1,497,0,0,0.0920,0.0520,0.0297,5,2,2,2
40,2,1,1,0,1,318,497,497,159,48.5077,192.7596,121.0372,76.9172,77.1913,497,497.0000,0,0,1,1013,0.0920,0.0520,0.0464,5,2,1,2
41,2,1,1,0,1,497,159,159,199,192.7596,124.5492,168.7157,23.2863,18.2483,159,159.0000,1,696,1,1273,0.0520,0.0520,0.0148,5,2,4,2
42,2,1,1,0,1,159,199,199,179,124.5492,242.8250,72.0069,58.8600,35.3553,199,199.0000,2,2484,0,119,0.0520,0.0195,0.0186,5,2,5,2
43,2,2,1,1,1,0,239,239,199,242.8250,98.2497,231.1060,21.9317,74.3303,278,139.0000,0,0,1,1272,0.0520,0.0195,0.0260,5,2,3,2
44,2,1,1,0,1,497,159,159,199,98.2497,163.6887,32.5730,67.3647,70.5160,875,875.0000,1,696,1,1273,0.0185,0.0775,0.0817,5,2,4,2
45,2,1,1,1,1,0,239,239,199,163.6887,129.0349,171.0468,17.7341,5.2202,497,497.0000,0,0,1,1272,0.0195,0.0945,0.0464,5,2,3,2
46,2,1,1,0,1,497,159,159,199,129.0349,71.8088,96.7471,39.7020,38.9134,199,199.0000,1,696,1,1273,0.0775,0.0945,0.0186,5,2,4,2
47,2,1,1,0,1,159,199,199,179,71.8088,304.0066,66.1287,16.3478,18.7417,119,119.0000,2,2484,0,119,0.0945,0.0935,0.0111,5,2,5,2
48,2,1,1,0,1,318,497,497,159,304.0066,102.2851,343.0233,41.8001,62.5180,258,258.0000,0,0,1,1013,0.0945,0.0935,0.0241,5,2,1,2
49,2,1,1,1,0,258,437,437,179,102.2851,210.5380,92.9570,85.2423,81.2481,437,437.0000,0,0,1,258,0.0945,0.0935,0.0408,4,3,1,1
50,2,3,3,1,0,437,179,616,258,210.5380,225.0028,144.5856,64.3817,156.0969,616,205.3333,0,0,0,0,0.0925,0.0935,0.0575,4,3,3,1
51,2,1,1,1,0,258,258,258,219,225.0028,26.0048,221.7205,21.1896,33.8895,258,258.0000,0,0,0,0,0.0935,0.0985,0.0241,6,4,3,1
52,2,1,1,0,1,258,219,219,576,26.0048,131.3554,104.5610,116.9626,118.7697,219,219.0000,2,1013,0,0,0.0935,0.1010,0.0204,4,3,2,1
53,2,1,1,1,1,0,239,239,199,131.3554,71.3320,135.5950,87.5014,79.6273,576,576.0000,0,0,1,1272,0.0935,0.1305,0.0538,5,2,3,2
54,2,2,1,0,1,258,219,219,576,71.3320,44.9722,157.6230,93.2966,34.6771,477,238.5000,2,1013,0,0,0.0985,0.1745,0.0445,4,3,2,1
55,2,1,1,1,0,258,437,437,179,44.9722,219.3285,128.0039,81.7435,79.9390,258,258.0000,0,0,1,258,0.1010,0.1745,0.0241,4,3,1,1
56,2,1,3,1,0,437,179,616,258,219.3285,191.9642,150.7481,70.2157,61.5000,159,159.0000,0,0,0,0,0.1055,0.1745,0.0148,4,3,3,1
57,2,2,2,0,1,159,119,278,258,191.9642,90.1804,221.7950,32.9014,39.3859,278,139.0000,0,0,0,0,0.1305,0.1745,0.0260,6,4,2,1
58,2,1,1,1,0,159,258,258,239,90.1804,78.7290,81.9390,19.5000,20.0998,258,258.0000,0,0,0,0,0.1680,0.2030,0.0241,6,5,2,0
59,2,1,1,1,0,258,239,239,179,78.7290,176.7831,108.8531,89.1866,80.5016,239,239.0000,0,0,0,0,0.1745,0.2030,0.0223,4,6,1,1
60,2,1,1,1,0,239,179,179,179,176.7831,200.3578,34.7131,137.3290,123.8275,179,179.0000,0,0,0,0,0.1745,0.2030,0.0167,4,6,2,1
61,2,1,1,1,0,179,179,179,119,200.3578,158.2024,263.7347,65.0308,74.0422,179,179.0000,0,0,0,0,0.1745,0.2030,0.0167,7,7,1,1
62,2,1,1,1,0,179,119,119,139,158.2024,167.6343,113.0708,49.1350,40.0312,119,119.0000,0,0,0,0,0.1745,0.2030,0.0111,7,7,3,1
63,2,1,1,1,0,119,139,139,80,167.6343,192.5058,135.2368,42.0862,28.8531,139,139.0000,0,0,0,0,0.1605,0.2030,0.0130,7,7,5,1
64,2,1,1,1,0,139,80,80,99,192.5058,168.2409,152.0822,43.6578,30.3356,80,80.0000,0,0,0,0,0.1605,0.2030,0.0075,7,7,6,1
65,2,1,1,1,0,80,99,99,99,168.2409,451.0809,88.0909,73.1386,72.4034,99,99.0000,0,0,0,0,0.1605,0.2030,0.0092,7,7,7,1
66,2,1,1,1,0,99,99,99,179,451.0809,185.1385,489.3475,43.6606,39.5127,99,99.0000,0,0,0,0,0.1580,0.2030,0.0092,6,8,3,0
